Date,Open,High,Low,Close
9/17/2018,108530,108530,108500,108500
9/17/2018,108500,108500,108470,108470
9/17/2018,108480,108510,108480,108510
9/17/2018,108490,108500,108490,108500
9/17/2018,108480,108510,108450,108510
9/17/2018,108490,108490,108490,108490
9/17/2018,108540,108540,108530,108530
9/17/2018,108570,108570,108550,108550
9/17/2018,108540,108540,108530,108530
9/17/2018,108540,108540,108500,108500
9/17/2018,108500,108500,108500,108500
9/17/2018,108560,108560,108560,108560
9/17/2018,108550,108550,108550,108550
9/17/2018,108550,108550,108550,108550
9/17/2018,108530,108530,108500,108500
9/17/2018,108520,108520,108520,108520
9/17/2018,108580,108600,108580,108600
9/17/2018,108600,108600,108590,108590
9/17/2018,108600,108600,108600,108600
9/17/2018,108590,108590,108590,108590
9/17/2018,108590,108620,108590,108590
9/17/2018,108610,108610,108610,108610
9/17/2018,108610,108640,108610,108640
9/17/2018,108640,108640,108620,108620
9/17/2018,108640,108640,108610,108610
9/17/2018,108610,108610,108600,108600
9/17/2018,108610,108610,108610,108610
9/17/2018,108640,108640,108640,108640
9/17/2018,108620,108620,108620,108620
9/17/2018,108610,108610,108610,108610
9/17/2018,108610,108620,108610,108620
9/17/2018,108620,108620,108600,108600
9/17/2018,108630,108640,108630,108630
9/17/2018,108620,108620,108620,108620
9/17/2018,108620,108620,108600,108600
9/17/2018,108620,108620,108620,108620
9/17/2018,108650,108650,108620,108620
9/17/2018,108630,108630,108630,108630
9/17/2018,108610,108610,108560,108570
9/17/2018,108590,108600,108590,108590
9/17/2018,108570,108580,108560,108580
9/17/2018,108580,108580,108580,108580
9/17/2018,108580,108580,108530,108540
9/17/2018,108560,108580,108560,108580
9/17/2018,108570,108570,108570,108570
9/17/2018,108580,108580,108580,108580
9/17/2018,108580,108580,108580,108580
9/17/2018,108590,108630,108590,108630
9/17/2018,108600,108630,108600,108630
9/17/2018,108620,108620,108620,108620
9/17/2018,108620,108620,108620,108620
9/17/2018,108590,108590,108590,108590
9/17/2018,108580,108590,108580,108590
9/17/2018,108590,108590,108580,108580
9/17/2018,108570,108570,108570,108570
9/17/2018,108570,108580,108570,108580
9/17/2018,108570,108600,108570,108590
9/17/2018,108590,108590,108570,108570
9/17/2018,108570,108570,108560,108560
9/17/2018,108560,108560,108560,108560
9/17/2018,108550,108550,108550,108550
9/17/2018,108550,108550,108550,108550
9/17/2018,108550,108560,108530,108530
9/17/2018,108540,108540,108490,108490
9/17/2018,108520,108520,108500,108510
9/17/2018,108510,108540,108500,108540
9/17/2018,108530,108530,108530,108530
9/17/2018,108530,108530,108520,108520
9/17/2018,108530,108530,108530,108530
9/17/2018,108550,108570,108540,108540
9/17/2018,108550,108560,108550,108550
9/17/2018,108530,108530,108520,108520
9/17/2018,108530,108530,108530,108530
9/17/2018,108550,108550,108550,108550
9/17/2018,108580,108580,108580,108580
9/17/2018,108580,108580,108580,108580
9/17/2018,108580,108580,108560,108560
9/17/2018,108560,108610,108560,108610
9/17/2018,108600,108620,108590,108620
9/17/2018,108610,108610,108580,108580
9/17/2018,108590,108590,108580,108580
9/17/2018,108570,108580,108570,108580
9/17/2018,108580,108580,108560,108560
9/17/2018,108550,108550,108550,108550
9/17/2018,108530,108530,108530,108530
9/17/2018,108520,108520,108500,108520
9/17/2018,108530,108540,108530,108540
9/17/2018,108550,108550,108530,108530
9/17/2018,108570,108570,108570,108570
9/17/2018,108570,108570,108570,108570
